APP_ID,TITLE,DEVELOPER,SCORE
com.tencent.cosna,Undawn,Level Infinite,4.2405405
com.mondayoff.reloadrush,Reload Rush,MondayOFF,4.488764
com.playgendary.tom,Tomb of the Mask,Playgendary Limited,4.5342007
com.htt.baby.hunt.hn,Where is He: Hide and Seek,Storm God,4.6226416
com.fungames.sniper3d,Sniper 3D：Gun Shooting Games,Fun Games For Free,4.445004
com.StudioGamebit.WildWestCowboy,Wild West Cowboy Redemption,Homa,4.3777776
com.ione.robot.car.transformation,Robot War: Robot Transform,Zego Studio,4.178571
com.roblock.rainbow.find.daddy2023,Rainbow Survivor: Find Daddy,T.Game Studio,3.6571429
com.xd.craft.skibydy.survivor,Skibydy Craftsman Survivor,MyGames Publishing,4.318182
com.gangster.real.crimecity.vegas.simulator3d,Gangster City: Mafia Crime,3D Sim Games,3.25
com.playgendary.kickthebuddy,Kick the Buddy,Playgendary Limited,4.281487
com.innersloth.spacemafia,Among Us,Innersloth LLC,3.7652593
com.brotato.shooting.survivors.action.roguelike,Brotato,Erabit Studios,4.6902657
com.wolf.objecthunt,Hide and Go Seek: Monster Hunt,Jungle nerd,4
com.xd.chicken.attack,Chicken Feet: Scary Escape,MyGames Publishing,3.2592592
com.htt.alpha.shooter.fps,Alphabet Shooter: Survival FPS,Jungle nerd,4.5613575
com.EvoGames.AirRifle3DRatShooting,Air Rifle 3D: Rat Sniper,TapNation,4.2515683
com.activision.callofduty.shooter,Call of Duty Mobile Season 5,"Activision Publishing, Inc.",4.33305
com.nintendo.zara,Super Mario Run,"Nintendo Co., Ltd.",3.9607894
com.kayac.level_up_number,Number Master: Run and merge,KAYAC Inc.,4.34593
com.cassette.aquapark,aquapark.io,VOODOO,4.0831094
com.amelosinteractive.snake,Snake.io - Fun Snake .io Games,Kooapps Games | Fun Arcade and Casual Action Games,4.38351
com.ta.online.strike.fps,FPS Online Strike:PVP Shooter,FPS Shooter & Action Game,4.557841
com.nintendo.zaka,Mario Kart Tour,"Nintendo Co., Ltd.",4.3031473
com.tencent.ig,PUBG MOBILE,Level Infinite,4.1032367
com.creativestarsgames.bombevolution,Bomb Evolution,Creative Stars,3.5899282
com.dts.freefireth,Free Fire: 6th Anniversary,Garena International I,4.073517
com.geishatokyo.trafficrun,Traffic Run!: Driving Game,"Geisha Tokyo, Inc.",3.9284112
com.playgendary.bowmasters,Bowmasters,Playgendary Limited,4.5784454
com.kitkagames.fallbuddies,Stumble Guys,Scopely,4.1857967
com.playgendary.ktbremaster,Kick The Buddy: Second Kick,Playgendary Limited,4.765391
com.TrofyGames.UboatAttack,Uboat Attack,VOODOO,4.459249
com.pixel.gun3d,Pixel Gun 3D - FPS Shooter,Pixel Gun 3D,4.1587834
com.yodo1.crossyroad,Crossy Road,HIPSTER WHALE,4.550897
com.miniclip.realsniper,Pure Sniper: Gun Shooter Games,Miniclip.com,4.5460873
com.seenax.HideAndSeek,Hide 'N Seek!,Supersonic Studios LTD,3.6645925
com.Hitica.FightForAmerica,Fight For America: Country War,Homa,3.771576
com.kayac.DrawFight,Draw Action: Freestyle Fight,KAYAC Inc.,4.2132564
com.noorgames.basketbattle,Basket Battle,Supersonic Studios LTD,4.616799
com.starplay.spider.fighter.openworld,Spider Fighter 3,Starplay DMCC,4.5786886
com.weup.ban.monster.life.challenge.chapter4,Green Monster Life Challenge 4,IDLERO,3.857143
com.imangi.templerun2,Temple Run 2,Imangi Studios,4.4566617
freeplay.crowdrun.com,Count Masters: Stickman Games,Freeplay Inc,4.1532536
com.Lightneer.BazookaBoy,Bazooka Boy,Supersonic Studios LTD,4.24139
com.maker.monstermix.funnydance,Mix Monster: Makeover,DINO Global LTD,4.7647057
com.rimashev.nextbot,Nextbots In Backrooms: Shooter,HOOKAH GAMES,4.2941175
com.outfit7.herodash,Talking Tom Hero Dash,Outfit7 Limited,4.1964793
com.Born2Play.StackyDash,Stacky Dash,Supersonic Studios LTD,3.6601975
com.hepagames.wheelevolution,Steering Wheel Evolution,Homa,4.7234287
jp.pokemon.pokemonunite,Pokémon UNITE,The Pokémon Company,4.4101405
